scenario_id,mode,fare,in-vehicle time,waiting time,access & egress time,transfer time,crowding level,customs clearance time
1.1,1,50,60,5,10,1,10%,15
1.1,2,125,20,10,40,2,50%,30
1.1,3,350,50,5,--,0,--,15
1.1,4,300,55,--,20,0,--,30
1.1,5,800,18,5,10,0,--,20
1.2,1,50,60,5,10,1,10%,15
1.2,2,125,20,10,40,2,50%,30
1.2,3,350,50,5,--,0,--,15
1.2,4,300,55,--,20,0,--,30
1.2,5,800,18,5,10,0,--,20
2.1,1,60,80,5,10,2,10%,15
2.1,2,100,20,15,40,0,90%,20
2.1,3,400,55,5,--,1,--,30
2.1,4,330,50,--,10,0,--,20
2.1,5,400,12,5,10,2,--,30
2.2,1,60,80,5,10,2,10%,15
2.2,2,100,20,15,40,0,90%,20
2.2,3,400,55,5,--,1,--,30
2.2,4,330,50,--,10,0,--,20
2.2,5,400,12,5,10,2,--,30
3.1,1,40,70,10,5,1,50%,15
3.1,2,125,15,10,30,2,90%,15
3.1,3,400,65,1,--,0,--,20
3.1,4,300,65,--,5,0,--,20
3.1,5,400,12,12,20,1,--,30
3.2,1,40,70,10,5,1,50%,15
3.2,2,125,15,10,30,2,90%,15
3.2,3,400,65,1,--,0,--,20
3.2,4,300,65,--,5,0,--,20
3.2,5,400,12,12,20,1,--,30
4.1,1,50,60,3,15,2,50%,15
4.1,2,75,20,20,30,0,50%,30
4.1,3,400,55,5,--,1,--,20
4.1,4,330,65,--,20,0,--,15
4.1,5,400,18,8,15,1,--,30
4.2,1,50,60,3,15,2,50%,15
4.2,2,75,20,20,30,0,50%,30
4.2,3,400,55,5,--,1,--,20
4.2,4,330,65,--,20,0,--,15
4.2,5,400,18,8,15,1,--,30
5.1,1,70,130,3,15,3,50%,15
5.1,2,140,40,20,20,0,90%,15
5.1,3,600,100,1,--,0,--,20
5.1,4,440,75,--,20,0,--,20
5.1,5,800,25,12,15,2,--,30
5.2,1,70,130,3,15,3,50%,15
5.2,2,140,40,20,20,0,90%,15
5.2,3,600,100,1,--,0,--,20
5.2,4,440,75,--,20,0,--,20
5.2,5,800,25,12,15,2,--,30
6.1,1,85,110,10,5,1,50%,20
6.1,2,180,40,20,30,3,10%,15
6.1,3,600,100,3,--,0,--,30
6.1,4,360,100,--,20,0,--,20
6.1,5,550,25,5,15,0,--,15
6.2,1,85,110,10,5,1,50%,20
6.2,2,180,40,20,30,3,10%,15
6.2,3,600,100,3,--,0,--,30
6.2,4,360,100,--,20,0,--,20
6.2,5,550,25,5,15,0,--,15
7.1,1,70,150,10,15,2,10%,20
7.1,2,220,55,20,40,1,50%,15
7.1,3,460,75,3,--,0,--,30
7.1,4,400,75,--,10,0,--,20
7.1,5,1050,25,5,10,3,--,30
7.2,1,70,150,10,15,2,10%,20
7.2,2,220,55,20,40,1,50%,15
7.2,3,460,75,3,--,0,--,30
7.2,4,400,75,--,10,0,--,20
7.2,5,1050,25,5,10,3,--,30
8.1,1,85,110,10,5,3,10%,30
8.1,2,140,45,15,40,0,50%,15
8.1,3,600,75,1,--,0,--,20
8.1,4,360,100,--,10,0,--,30
8.1,5,1050,25,8,20,3,--,15
8.2,1,85,110,10,5,3,10%,30
8.2,2,140,45,15,40,0,50%,15
8.2,3,600,75,1,--,0,--,20
8.2,4,360,100,--,10,0,--,30
8.2,5,1050,25,8,20,3,--,15
9.1,1,180,195,10,10,1,90%,20
9.1,2,350,55,20,40,3,50%,30
9.1,3,570,140,1,--,1,--,15
9.1,4,500,140,--,5,0,--,20
9.1,5,700,45,8,10,3,--,30
9.2,1,180,195,10,10,1,90%,20
9.2,2,350,55,20,40,3,50%,30
9.2,3,570,140,1,--,1,--,15
9.2,4,500,140,--,5,0,--,20
9.2,5,700,45,8,10,3,--,30
10.1,1,150,195,3,5,2,10%,15
10.1,2,290,75,20,40,3,50%,20
10.1,3,750,140,5,--,0,--,20
10.1,4,450,125,--,20,0,--,30
10.1,5,700,35,8,15,0,--,30
10.2,1,150,195,3,5,2,10%,15
10.2,2,290,75,20,40,3,50%,20
10.2,3,750,140,5,--,0,--,20
10.2,4,450,125,--,20,0,--,30
10.2,5,700,35,8,15,0,--,30
11.1,1,150,220,5,10,3,90%,20
11.1,2,290,55,20,40,2,10%,20
11.1,3,750,110,3,--,1,--,15
11.1,4,450,125,--,10,0,--,30
11.1,5,1300,45,12,20,0,--,15
11.2,1,150,220,5,10,3,90%,20
11.2,2,290,55,20,40,2,10%,20
11.2,3,750,110,3,--,1,--,15
11.2,4,450,125,--,10,0,--,30
11.2,5,1300,45,12,20,0,--,15
12.1,1,180,170,3,10,3,10%,30
12.1,2,350,75,15,30,2,50%,15
12.1,3,660,110,1,--,0,--,30
12.1,4,450,125,--,20,0,--,20
12.1,5,1000,60,8,10,1,--,20
12.2,1,180,170,3,10,3,10%,30
12.2,2,350,75,15,30,2,50%,15
12.2,3,660,110,1,--,0,--,30
12.2,4,450,125,--,20,0,--,20
12.2,5,1000,60,8,10,1,--,20
