scenario_id,mode,fare,in-vehicle time,waiting time,access & egress time,transfer time,crowding level,customs clearance time
1.1,1,60,70,3,10,0,10%,20
1.1,2,125,25,15,40,1,50%,30
1.1,3,350,55,1,--,1,--,20
1.1,4,300,50,--,5,0,--,15
1.1,5,600,12,8,20,1,--,15
1.2,1,60,70,3,10,0,10%,20
1.2,2,125,25,15,40,1,50%,30
1.2,3,350,55,1,--,1,--,20
1.2,4,300,50,--,5,0,--,15
1.2,5,600,12,8,20,1,--,15
2.1,1,50,60,10,5,2,10%,30
2.1,2,75,20,15,40,0,50%,20
2.1,3,350,65,3,--,1,--,15
2.1,4,300,65,--,10,0,--,30
2.1,5,800,12,12,20,0,--,20
2.2,1,50,60,10,5,2,10%,30
2.2,2,75,20,15,40,0,50%,20
2.2,3,350,65,3,--,1,--,15
2.2,4,300,65,--,10,0,--,30
2.2,5,800,12,12,20,0,--,20
3.1,1,50,80,10,15,2,50%,15
3.1,2,75,15,10,20,0,90%,30
3.1,3,450,65,5,--,0,--,30
3.1,4,270,55,--,10,0,--,20
3.1,5,800,15,8,15,2,--,15
3.2,1,50,80,10,15,2,50%,15
3.2,2,75,15,10,20,0,90%,30
3.2,3,450,65,5,--,0,--,30
3.2,4,270,55,--,10,0,--,20
3.2,5,800,15,8,15,2,--,15
4.1,1,50,60,10,10,2,50%,20
4.1,2,125,20,15,30,0,10%,30
4.1,3,450,50,1,--,1,--,15
4.1,4,270,65,--,20,0,--,20
4.1,5,400,15,5,10,1,--,15
4.2,1,50,60,10,10,2,50%,20
4.2,2,125,20,15,30,0,10%,30
4.2,3,450,50,1,--,1,--,15
4.2,4,270,65,--,20,0,--,20
4.2,5,400,15,5,10,1,--,15
5.1,1,100,130,10,10,1,90%,20
5.1,2,220,40,20,40,3,50%,30
5.1,3,460,100,1,--,1,--,15
5.1,4,400,100,--,5,0,--,20
5.1,5,550,25,8,10,3,--,30
5.2,1,100,130,10,10,1,90%,20
5.2,2,220,40,20,40,3,50%,30
5.2,3,460,100,1,--,1,--,15
5.2,4,400,100,--,5,0,--,20
5.2,5,550,25,8,10,3,--,30
6.1,1,85,130,3,5,2,10%,15
6.1,2,180,55,20,40,3,50%,20
6.1,3,600,100,5,--,0,--,20
6.1,4,360,85,--,20,0,--,30
6.1,5,550,20,8,15,0,--,30
6.2,1,85,130,3,5,2,10%,15
6.2,2,180,55,20,40,3,50%,20
6.2,3,600,100,5,--,0,--,20
6.2,4,360,85,--,20,0,--,30
6.2,5,550,20,8,15,0,--,30
7.1,1,85,150,5,10,3,90%,20
7.1,2,180,40,20,40,2,10%,20
7.1,3,600,75,3,--,1,--,15
7.1,4,360,85,--,10,0,--,30
7.1,5,1050,25,12,20,0,--,15
7.2,1,85,150,5,10,3,90%,20
7.2,2,180,40,20,40,2,10%,20
7.2,3,600,75,3,--,1,--,15
7.2,4,360,85,--,10,0,--,30
7.2,5,1050,25,12,20,0,--,15
8.1,1,100,110,3,10,3,10%,30
8.1,2,220,55,15,30,2,50%,15
8.1,3,530,75,1,--,0,--,30
8.1,4,360,85,--,20,0,--,20
8.1,5,800,30,8,10,1,--,20
8.2,1,100,110,3,10,3,10%,30
8.2,2,220,55,15,30,2,50%,15
8.2,3,530,75,1,--,0,--,30
8.2,4,360,85,--,20,0,--,20
8.2,5,800,30,8,10,1,--,20
9.1,1,150,170,10,10,2,50%,15
9.1,2,290,65,10,40,1,90%,15
9.1,3,570,110,3,--,0,--,20
9.1,4,550,140,--,10,0,--,20
9.1,5,1300,60,8,20,3,--,30
9.2,1,150,170,10,10,2,50%,15
9.2,2,290,65,10,40,1,90%,15
9.2,3,570,110,3,--,0,--,20
9.2,4,550,140,--,10,0,--,20
9.2,5,1300,60,8,20,3,--,30
10.1,1,180,170,5,5,2,10%,30
10.1,2,230,75,20,30,3,90%,15
10.1,3,750,125,3,--,0,--,20
10.1,4,450,110,--,20,0,--,20
10.1,5,1000,60,5,10,1,--,30
10.2,1,180,170,5,5,2,10%,30
10.2,2,230,75,20,30,3,90%,15
10.2,3,750,125,3,--,0,--,20
10.2,4,450,110,--,20,0,--,20
10.2,5,1000,60,5,10,1,--,30
11.1,1,180,220,3,5,0,10%,15
11.1,2,230,55,20,40,1,90%,30
11.1,3,750,140,1,--,1,--,30
11.1,4,500,125,--,5,0,--,15
11.1,5,1000,45,8,15,2,--,20
11.2,1,180,220,3,5,0,10%,15
11.2,2,230,55,20,40,1,90%,30
11.2,3,750,140,1,--,1,--,30
11.2,4,500,125,--,5,0,--,15
11.2,5,1000,45,8,15,2,--,20
12.1,1,150,220,5,10,3,10%,15
12.1,2,350,65,20,20,2,90%,30
12.1,3,660,140,5,--,0,--,30
12.1,4,550,110,--,10,0,--,20
12.1,5,700,35,5,10,2,--,15
12.2,1,150,220,5,10,3,10%,15
12.2,2,350,65,20,20,2,90%,30
12.2,3,660,140,5,--,0,--,30
12.2,4,550,110,--,10,0,--,20
12.2,5,700,35,5,10,2,--,15
